STATE,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Missouri,2011,7,6.10616,528,29,8647
Montana,2011,7,0.701262,20,6,2852
Nebraska,2011,7,4.43182,156,16,3520
Nevada,2011,7,4.06365,784,37,19293
New Hampshire,2011,7,0.66166,37,29,5592
New Jersey,2011,7,6.11392,351,24,5741
New Mexico,2011,7,6.43468,625,24,9713
New York,2011,7,4.03668,537,88,13303
North Carolina,2011,7,5.03414,1305,72,25923
North Dakota,2011,7,2.25564,48,12,2128
Ohio,2011,7,2.23717,409,49,18282
Oklahoma,2011,7,7.16321,176,17,2457
Oregon,2011,7,2.5634,94,19,3667
Pennsylvania,2011,7,3.61821,663,62,18324
Rhode Island,2011,7,2.72609,189,21,6933
South Carolina,2011,7,4.84745,456,22,9407
South Dakota,2011,7,4.34783,275,19,6325
Tennessee,2011,7,5.97049,781,51,13081
Texas,2011,7,8.26519,4821,88,58329
Utah,2011,7,2.45478,152,14,6192
Vermont,2011,7,3.43809,128,13,3723
Virginia,2011,7,5.14304,3743,91,72778
Washington,2011,7,4.14244,114,14,2752
West Virginia,2011,7,5.12116,727,39,14196
Wisconsin,2011,7,2.81324,130,43,4621
Wyoming,2011,7,2.60146,125,26,4805
New York City,2011,7,2.60075,2475,39,95165
Alabama,2011,8,9.67196,1200,33,12407
Alaska,2011,8,2.93454,65,8,2215
Arizona,2011,8,2.28608,681,68,29789
Arkansas,2011,8,6.03429,271,15,4491
California,2011,8,5.17402,1775,134,34306
Colorado,2011,8,2.85625,637,12,22302
Connecticut,2011,8,1.98091,110,22,5553
Delaware,2011,8,2.32987,101,13,4335
District of Columbia,2011,8,1.64396,35,3,2129
Florida,2011,8,X,X,X,X
Georgia,2011,8,4.05653,1596,61,39344
Hawaii,2011,8,5.54855,88,17,1586
Idaho,2011,8,6.26091,287,12,4584
Illinois,2011,8,3.85922,1568,74,40630
Indiana,2011,8,5.02345,664,42,13218
Iowa,2011,8,2.21029,107,9,4841
Kansas,2011,8,3.39597,403,42,11867
Kentucky,2011,8,2.57244,459,15,17843
Louisiana,2011,8,5.05296,1102,39,21809
Maine,2011,8,1.92711,101,29,5241
Maryland,2011,8,2.62542,213,16,8113
Massachusetts,2011,8,2.45628,618,54,25160
Michigan,2011,8,2.71023,428,51,15792
Minnesota,2011,8,2.98699,140,14,4687
Mississippi,2011,8,5.0174,865,46,17240
Missouri,2011,8,5.4344,466,31,8575
Montana,2011,8,1.10193,28,6,2541
Nebraska,2011,8,8.24176,300,16,3640
Nevada,2011,8,4.06769,762,37,18733
New Hampshire,2011,8,0.766522,37,27,4827
New Jersey,2011,8,6.69849,421,24,6285
New Mexico,2011,8,5.32783,516,26,9685
New York,2011,8,3.74332,420,88,11220
North Carolina,2011,8,3.73912,962,74,25728
North Dakota,2011,8,2.68235,57,12,2125
Ohio,2011,8,1.90649,316,49,16575
Oklahoma,2011,8,5.65058,185,17,3274
Oregon,2011,8,1.81037,59,17,3259
Pennsylvania,2011,8,3.40457,591,59,17359
Rhode Island,2011,8,4.95067,286,21,5777
South Carolina,2011,8,3.85022,364,24,9454
South Dakota,2011,8,4.16738,244,19,5855
Tennessee,2011,8,3.57057,446,51,12491
Texas,2011,8,6.66045,3641,90,54666
Utah,2011,8,1.88917,90,13,4764
Vermont,2011,8,2.53743,100,14,3941
Virginia,2011,8,4.35908,3184,92,73043
Washington,2011,8,3.80721,94,14,2469
West Virginia,2011,8,5.45299,765,43,14029
Wisconsin,2011,8,2.76498,120,43,4340
Wyoming,2011,8,2.36935,107,25,4516
New York City,2011,8,2.61527,2397,40,91654
Alabama,2011,9,6.80203,737,32,10835
Alaska,2011,9,4.8801,116,8,2377
Arizona,2011,9,1.71211,454,66,26517
Arkansas,2011,9,6.93537,308,15,4441
California,2011,9,5.00087,2007,138,40133
Colorado,2011,9,2.67784,591,12,22070
Connecticut,2011,9,1.34299,76,21,5659
Delaware,2011,9,2.14613,89,12,4147
District of Columbia,2011,9,2.02952,55,3,2710
Florida,2011,9,X,X,X,X
Georgia,2011,9,2.82145,1048,61,37144
Hawaii,2011,9,5.25433,94,17,1789
Idaho,2011,9,5.59846,290,11,5180
Illinois,2011,9,3.6953,1579,77,42730
Indiana,2011,9,3.80817,509,43,13366
Iowa,2011,9,2.18331,101,9,4626
Kansas,2011,9,3.08696,350,42,11338
Kentucky,2011,9,1.78363,291,14,16315
Louisiana,2011,9,4.11286,602,25,14637
Maine,2011,9,1.90314,123,31,6463
Maryland,2011,9,2.14094,199,16,9295
Massachusetts,2011,9,1.93807,532,53,27450
Michigan,2011,9,2.1339,291,49,13637
Minnesota,2011,9,3.23099,161,13,4983
Mississippi,2011,9,4.25786,677,44,15900
Missouri,2011,9,3.89713,344,31,8827
Montana,2011,9,1.11654,32,6,2866
Nebraska,2011,9,6.80219,261,16,3837
Nevada,2011,9,4.78919,535,32,11171
New Hampshire,2011,9,0.939249,47,26,5004
New Jersey,2011,9,5.74113,440,24,7664
New Mexico,2011,9,4.83437,413,25,8543
New York,2011,9,2.72493,328,85,12037
North Carolina,2011,9,2.25827,522,69,23115
North Dakota,2011,9,3.01666,67,11,2221
